Easting [m],Northig [m],dz
4572868.04,5306318.44,0.15
4572847.31,5306397.09,0.44
4572872.72,5306159.78,-0.06
4572875.01,5306197.25,-0.24
4572876.75,5306234.53,0.27
4572872.16,5306276.39,0.09
4572850.66,5306354.73,0.19
4572854.52,5306312.58,0.17
4572830.18,5306433.48,0.49
4572833.27,5306391.02,0.34
4572861.83,5306191.55,0.09
4572863.73,5306228.87,-0.09
4572858.86,5306270.62,0.09
4572836.87,5306348.76,0.23
4572840.97,5306306.71,-0.13
4572816.02,5306463.83,0.47
4572815.88,5306427.31,0.44
4572819.22,5306384.95,0.23
4572850.94,5306223.32,0.09
4572845.58,5306264.86,-0.21
4572823.07,5306342.8,-0.07
4572827.43,5306300.84,-0.11
4572801.86,5306494.19,0.41
4572801.77,5306457.69,0.41
4572787.7,5306524.54,0.3
4572773.54,5306554.89,0.12
4572801.58,5306421.13,0.14
4572805.18,5306378.89,0.01
4572832.49,5306259.18,0.19
4572809.27,5306336.83,-0.09
4572814.04,5306295.05,0.11
4572787.67,5306488.08,0.34
4572787.58,5306451.57,0.1
4572773.57,5306518.46,0.26
4572759.38,5306585.25,0.01
4572759.46,5306548.85,0.16
4572787.28,5306414.97,-0.06
4572791.12,5306372.81,-0.19
4572795.6,5306330.91,0.03
4572773.58,5306482.01,0.08
4572773.33,5306445.44,-0.14
4572759.59,5306512.45,0
4572745.22,5306615.6,-0.09
4572745.36,5306579.23,0.04
4572745.59,5306542.89,-0.13
4572772.97,5306408.8,-0.25
4572777.15,5306366.78,-0.28
4572759.39,5306475.91,-0.21
4572759.07,5306439.3,-0.26
4572745.44,5306506.38,-0.25
4572732.27,5306653.9,0.04
4572731.26,5306609.62,-0.13
4572731.6,5306573.33,-0.01
4572731.49,5306536.85,-0.24
4572758.7,5306402.64,-0.45
4572745.18,5306469.8,-0.29
4572744.85,5306433.17,-0.12
4572731.28,5306500.3,-0.3
4572719.32,5306692.19,0.17
